Time,Box_sum
2004/2/1,774.185952
2004/3/1,543.623831
2004/4/1,690.100483
2004/5/1,995.616424
2004/6/1,1376.959503
2004/7/1,843.777009
2004/8/1,568.840127
2004/9/1,332.322792
2004/10/1,810.237439
2004/11/1,974.976519
2004/12/1,1124.624537
2005/1/1,370.944254
2005/2/1,516.372486
2005/3/1,632.928077
2005/4/1,483.312453
2005/5/1,1045.974508
2005/6/1,1057.389531
2005/7/1,874.801367
2005/8/1,539.377603
2005/9/1,564.162628
2005/10/1,529.36475
2005/11/1,954.498151
2005/12/1,1240.835534
2006/1/1,378.729308
2006/2/1,533.659247
2006/3/1,822.592958
2006/4/1,522.999675
2006/5/1,901.883248
2006/6/1,1159.585998
2006/7/1,936.227137
2006/8/1,670.698792
2006/9/1,571.541281
2006/10/1,591.687665
2006/11/1,871.399756
2006/12/1,1255.238286
2007/1/1,266.517667
2007/2/1,623.933571
2007/3/1,920.81466
2007/4/1,403.982535
2007/5/1,1066.416162
2007/6/1,1113.411703
2007/7/1,1159.741169
2007/8/1,871.703455
2007/9/1,478.110017
2007/10/1,470.774922
2007/11/1,865.225267
2007/12/1,1435.53342
2008/1/1,391.455331
2008/2/1,662.67271
2008/3/1,623.409049
2008/4/1,452.174665
2008/5/1,1167.395861
2008/6/1,1066.8955
2008/7/1,1271.346989
2008/8/1,656.192095
2008/9/1,497.269656
2008/10/1,639.755486
2008/11/1,1125.119643
2008/12/1,1149.385991
2009/1/1,675.712591
2009/2/1,551.890859
2009/3/1,691.696935
2009/4/1,565.283515
2009/5/1,1317.105445
2009/6/1,1124.476422
2009/7/1,1053.241015
2009/8/1,744.702
2009/9/1,582.200886
2009/10/1,619.5083
2009/11/1,1262.239063
2009/12/1,1637.157959
2010/1/1,393.567074
2010/2/1,603.694449
2010/3/1,1026.435065
2010/4/1,600.713534
2010/5/1,952.142344
2010/6/1,1410.090593
2010/7/1,1125.908182
2010/8/1,646.64336
2010/9/1,508.902982
2010/10/1,655.097685
2010/11/1,1203.01974
2010/12/1,1090.209238
2011/1/1,330.090428
2011/2/1,588.051319
2011/3/1,658.898216
2011/4/1,958.270392
2011/5/1,1194.278547
2011/6/1,1141.332931
2011/7/1,1254.512757
2011/8/1,693.937424
2011/9/1,607.61408
2011/10/1,574.057381
2011/11/1,1017.898842
2011/12/1,1098.111233
2012/1/1,433.988954
2012/2/1,810.679301
2012/3/1,1117.555914
2012/4/1,532.983225
2012/5/1,1180.678924
2012/6/1,1313.957646
2012/7/1,1072.115989
2012/8/1,739.40889
2012/9/1,564.964044
2012/10/1,578.858266
2012/11/1,1540.115991
2012/12/1,1078.389282
2013/1/1,328.045896
2013/2/1,537.848652
2013/3/1,986.896792
2013/4/1,432.253183
2013/5/1,1461.125027
2013/6/1,1229.317135
2013/7/1,1319.724067
2013/8/1,841.998604
2013/9/1,472.583681
2013/10/1,676.500139
2013/11/1,1492.319797
2013/12/1,1180.057886
2014/1/1,386.45553
2014/2/1,712.326242
2014/3/1,741.871747
2014/4/1,744.085039
2014/5/1,1234.468021
2014/6/1,997.648342
2014/7/1,815.139309
2014/8/1,1012.117537
2014/9/1,455.199323
2014/10/1,886.467994
2014/11/1,1138.296793
2014/12/1,1322.244237
2015/1/1,406.009143
2015/2/1,711.088468
2015/3/1,757.912033
2015/4/1,639.040961
2015/5/1,1182.704521
2015/6/1,1378.512417
2015/7/1,1294.443135
2015/8/1,547.271491
2015/9/1,701.047768
2015/10/1,594.587388
2015/11/1,1083.119261
2015/12/1,1799.678724
2016/1/1,488.59008
2016/2/1,656.13198
2016/3/1,1094.260409
2016/4/1,681.875352
2016/5/1,918.673039
2016/6/1,1087.866588
2016/7/1,429.027875
