平台,產品1,產品2,Function,Intention,landing後的URL
KOKOWEB,註冊及申請,註冊及申請,產品申辦,,https://www.kokobank.com/KOKO/Home/ApplyPage#kokoAccount-level
KOKOWEB,註冊及申請,註冊及申請,產品申辦,,https://www.kokobank.com/KOKO/Home/ApplyPage#popout-ajaxContent
KOKOWEB,註冊及申請,註冊及申請,產品申辦,,https://www.kokobank.com/KOKO/Home/KOKOMember
KOKOWEB,轉帳,轉帳,KOKO交易,,https://www.kokobank.com/KOKO/EBank/TransShare
KOKOWEB,集團公告,簡介,權益,,https://www.kokobank.com/KOKO/Home/KOKODSARules
KOKOWEB,集團公告,簡介,權益,,https://www.kokobank.com/KOKO/Home/KOKODSARules#kokoAccount-benefits-term
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/Index
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/Index/#Relogin
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/KOKODSA
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/KOKODSA#Duncan
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/KOKODSA#kokoAccount-benefits-term
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/KOKODSA#kokoDSA-POP
KOKOWEB,集團公告,簡介,產品,,https://www.kokobank.com/KOKO/Home/KOKODSA#Right
KOKOWEB,集團公告,集團公告,權益,,https://www.kokobank.com/KOKO/Apply/Home/Term
KOKOWEB,集團公告,集團公告,權益,,https://www.kokobank.com/KOKO/Apply/Home/Terms_sc
KOKOWEB,集團公告,集團公告,權益,,https://www.kokobank.com/KOKO/Apply/Home/Terms_sv
KOKOWEB,集團公告,集團公告,權益,,https://www.kokobank.com/KOKO/Apply/Home/Terms_sva
KOKOWEB,集團公告,集團公告,產品,,https://www.kokobank.com/KOKO
KOKOWEB,預算管理,預算管理,理財,,https://www.kokobank.com/KOKO/EBank/Home
KOKOWEB,首頁,首頁,,,https://www.kokobank.com/KOKO
MMB,MMB,,功能_服務設定,,https://www.cathaybk.com.tw/cathaybk/e_service/mymobibank/event/2015/201512mmb_push_coffe/index.asp
MMB,MMB,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/index_mmb.asp
MMB,MMB,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/mmb/index.asp
MMB,MMB,,資訊提供_服務,,https://www.cathaybk.com.tw/cathaybk/index_mmb_04.asp
MMB,MMB,,資訊提供_權益,網路購物,https://www.cathaybk.com.tw/cathaybk/e_service/mymobibank/event/2015/201508mmb_bonus/index.asp
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/mobile/loan_01.asp
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/mobile/mybill_01.asp
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/OnlineLoan/mobile/Application.aspx
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/OnlineLoan/mobile/Authenticate.aspx
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/OnlineLoan/mobile/Authenticate_OTP.aspx
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/OnlineLoan/mobile/declaration.aspx
MMB,信貸,,申請_產品申辦,,https://www.cathaybk.com.tw/cathaybk/OnlineLoan/mobile/upload_mobile.aspx
MMB,外匯,,資訊提供_服務,,https://www.cathaybk.com.tw/cathaybk/mobile/rate_01.asp
MMB,數位服務,MMB下載,資訊提供_服務設定,網路購物,https://www.cathayholdings.com/bank/cathaybk/index_mmb_01.asp
MMB,數位服務,MMB下載,資訊提供_服務設定,網路購物,https://www.cathayholdings.com/bank/cathaybk/index_mmb.asp
MMB,數位服務,MMB下載,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/mobile/app-20140701.asp
MMB,數位服務,MMB下載,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/mobile/app.asp
MMB,數位服務,MMB功能介紹,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/index_mmb_02.asp
MMB,數位服務,MMB功能介紹,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/index_mmb_03.asp
MMB,數位服務,MMB功能介紹,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/mmb/
MMB,數位服務,MMB功能介紹,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/mmb/index.asp
MMB,數位服務,MMB常見問題,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/index_mmb_04.asp
MMB,數位服務,MMB推撥通知,資訊提供_產品,網路購物,https://www.cathayholdings.com/bank/cathaybk/index_mmb_02_1.asp
MMB,數位服務,MMB繳稅,功能_繳費,資金需求,https://www.cathayholdings.com/bank/cathaybk/index_mmb_02_2.asp
MMB,首頁,,,,https://www.cathaybk.com.tw//cathaybk/mobile/index.asp
MMB,首頁,,,,https://www.cathaybk.com.tw/cathaybk/mobile/index.asp
MYB10B,B2B平台,,資訊提供_產品,資金需求,https://www.cathayholdings.com/bank/cathaybk/corp/trade/business-credit.asp
MYB11B,B2B平台,,資訊提供_產品,,https://www.cathayholdings.com/bank/cathaybk/corp/trade/business-export.asp
